#Sección,b,Dirección General,d,Capítulo,f,Artículo,h,Concepto,j,Subconcepto,l,Derechos  reconocidos
3,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,820,A corto plazo,82000,A personal funcionario,2000
3,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82100,A personal funcionario,
3,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,301,CÁMARA DE CUENTAS DE CASTILLA-LA MANCHA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82101,A personal laboral,
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,322,Tasas direc e insp obras,32200,Dirección e inspec. obras,593.1
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,820,A corto plazo,82000,A personal funcionario,428.58
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82100,A personal funcionario,857.16
4,CONSEJO CONSULTIVO,401,CONSEJO CONSULTIVO,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82101,A personal laboral,
6,DEUDA PÚBLICA,601,DEUDA PÚBLICA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,
6,DEUDA PÚBLICA,601,DEUDA PÚBLICA,9,PASIVOS FINANCIEROS,91,PRÉSTAMOS MONEDA NACIONAL,911,Préstamos recibidos a l/p,91101,Prés rec a l/p  dentro sp,148464806.43
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1103,VICEPRESIDENCIA SEGUNDA DE LA JCCM,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E., OO.AA., EE.PP",432,De diversos Ministerios,43200,De diversos Ministerios,
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",31,PRESTACIÓN DE SERVICIOS,310,Tarifas de publicidad,31000,Tarifas de publicidad,
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,329,Otras tasas,32900,Otras tasas,11.44
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,380,De ejercicios cerrados,38000,De ejercicios cerrados,36151.6
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,381,De presupuesto corriente,38100,De presupuesto corriente,6975.81
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39000,Recargo de apremio,6247.51
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39001,Intereses de demora,744.83
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,276981.03
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,4,TRANSFERENCIAS CORRIENTES,49,DEL EXTERIOR,499,Otras transferencias,49900,Otras transferencias,38260
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,5,INGRESOS PATRIMONIALES,52,INTERESES DE DEPÓSITOS,520,Intereses cuentas bancar,52000,Intereses cuentas bancar,
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,6,ENAJENACIÓN INVERSIONES R,68,REINTEGROS O. DE CAPITAL,680,De ejercicios cerrados,68000,De transferencias capital,49.33
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,820,A corto plazo,82000,A personal funcionario,5726.07
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,820,A corto plazo,82001,A personal laboral,2750
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82100,A personal funcionario,3099.79
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82101,A personal laboral,916.69
11,PRESIDENCIA DE LA JUNTA DE COMUNIDADES D,1104,SECRETARÍA GENERAL DE PRESIDENCIA,8,ACTIVOS FINANCIEROS,87,REMANENTE DE TESORERÍA,870,Remanente de tesorería,87000,Remanente de tesorería,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,10,SOBRE LA RENTA,100,Impuesto sobre la Renta,10000,Tramo autonómico del IRPF,995294172.48
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,10,SOBRE LA RENTA,100,Impuesto sobre la Renta,10001,IRPF. Liquidación de ejercicios anterior,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,110,Impuesto sobre sucesiones,11001,Impuesto sobre sucesiones,39343611.6
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,110,Impuesto sobre sucesiones,11002,Impuesto sobre donaciones,4094746.38
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,111,Impuesto sobre patrimonio,11100,Impuesto sobre patrimonio,403080.1
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,11,SOBRE EL CAPITAL,113,Impues sobre Depósitos en las Entidades,11300,Impues sobre Depósitos en las Entidades,459.95
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,1,IMPUESTOS DIRECTOS,19,OTROS IMPUESTOS DIRECTOS,191,Impuestos sobre diversos márgenes,19100,Impuesto sobre margen intereses y comisi,53381760.52
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,20,T. PATRIMONIALES Y A.J.D.,200,Transmisiones intervivos,20001,Transm patrimoniales oner,184069465.84
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,20,T. PATRIMONIALES Y A.J.D.,200,Transmisiones intervivos,20002,Operaciones societarias,413659.29
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,20,T. PATRIMONIALES Y A.J.D.,201,Actos jurídicos document,20100,Actos jurídicos document,71388700.6
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,21,SOBRE EL JUEGO,211,Impuesto sobre las actividades del juego,21100,Impuesto sobre las actividades del juego,5285726.14
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22000,Sobre medios transporte,9220718.27
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22001,Imp espe sobre la cerveza,4176270
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22003,Imp espec prod intermedio,232042.47
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22004,Imp esp s/alcohol y bebid,10041289.98
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22005,Imp espe s/ hidrocarburos,261860734.98
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22006,Imp. espec labores tabaco,92515704.99
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22007,Imp espec s/ electricidad,32489202.48
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22009,Tipo autonómico del impuesto especial so,-7965.23
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22011,Imp esp sobre la cerveza. Liq ejercicios,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22013,Imp especial sobre productos interm. Liq,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22014,Imp esp s alcohol y beb deri. Liq ejerc,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22015,Imp. esp sobre hidrocarburos. Liq ejer a,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22016,Imp especial s las labores del tabaco. L,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,22,SOBRE CONSUMOS ESPECÍFICO,220,Impuestos especiales,22017,Imp esp sobre la electricidad. Liq de ej,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,23,SOBRE EL VALOR AÑADIDO,230,Sobre el valor añadido,23000,sobre el valor añadido,886250294.97
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,23,SOBRE EL VALOR AÑADIDO,230,Sobre el valor añadido,23001,IVA. Liquidación de ejercicios anteriore,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,24,IMPUESTOS MEDIOAMBIENTAL,240,I.actividades inciden M.A,24000,I.actividades inciden M.A,564992.32
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,2,IMPUESTOS INDIRECTOS,24,IMPUESTOS MEDIOAMBIENTAL,241,I.actividad gener efectos adverso sobre,24103,"I.s/deposito residuos vertederos, incin.",12597672.32
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",30,VENTA DE BIENES,309,Venta de otros bienes,30900,Venta de otros bienes,13500
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",31,PRESTACIÓN DE SERVICIOS,310,Tarifas de publicidad,31000,Tarifas de publicidad,52.23
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",31,PRESTACIÓN DE SERVICIOS,311,Derechos matrícula c y s,31100,Derechos matrícula c y s,56.19
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",31,PRESTACIÓN DE SERVICIOS,318,Otros precios públicos,31800,Otros precios públicos,0.1
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,320,"Tasa fiscal sobre juegos de suerte, envi",32000,Bingo,659396.73
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,320,"Tasa fiscal sobre juegos de suerte, envi",32001,Máquinas recreativas,17647695.06
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,320,"Tasa fiscal sobre juegos de suerte, envi",32002,Casinos y establecimientos de juegos de,491124.06
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,321,"Tasa sobre rifas, tómbolas y combinacion",32100,Rifas y tómbolas,1096088.44
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,322,Tasas direc e insp obras,32200,Dirección e inspec. obras,403298.99
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,329,Otras tasas,32900,Otras tasas,445439.41
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,380,De ejercicios cerrados,38000,De ejercicios cerrados,81317.34
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,380,De ejercicios cerrados,38090,Reintegros MRR,67
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,381,De presupuesto corriente,38100,De presupuesto corriente,77637.41
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39000,Recargo de apremio,564101.8
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39001,Intereses de demora,100936.52
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39002,Multas y sanciones,653202.36
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,7918.46
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E., OO.AA., EE.PP",430,Fondos de Suficiencia y Convergencia,43000,Fondo de Suficiencia Global,52178549.97
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E., OO.AA., EE.PP",430,Fondos de Suficiencia y Convergencia,43002,Fondo de Garantía Servicios Públicos Fun,876110366.19
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E., OO.AA., EE.PP",430,Fondos de Suficiencia y Convergencia,43010,Fondo de Sufic Global. Liquidaci ejer an,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E., OO.AA., EE.PP",430,Fondos de Suficiencia y Convergencia,43012,Fondo Garantía de Ser Pbc Funda. Liq eje,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E., OO.AA., EE.PP",430,Fondos de Suficiencia y Convergencia,43014,Fondo de Cooperación. Liquidación ejer a,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E., OO.AA., EE.PP",434,De OO.AA. estatales,43400,De OO.AA. estatales,2963220
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,5,INGRESOS PATRIMONIALES,52,INTERESES DE DEPÓSITOS,520,Intereses cuentas bancar,52000,Intereses cuentas bancar,3314964.24
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,5,INGRESOS PATRIMONIALES,54,RENTA DE BIENES INMUEBLES,540,Alquileres y p. inmuebles,54000,Alquileres y prod inmuebl,3142.86
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,5,INGRESOS PATRIMONIALES,54,RENTA DE BIENES INMUEBLES,549,Otras rentas,54900,Otras rentas,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,5,INGRESOS PATRIMONIALES,59,OTROS INGRESOS PATRIMON.,590,Otros ingresos patrimon,59000,Otros ingresos patrimon,2099916.46
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,6,ENAJENACIÓN INVERSIONES R,60,DE TERRENOS,603,Venta terrenos no urbanos,60300,Venta terrenos no urbanos,-2987.08
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,6,ENAJENACIÓN INVERSIONES R,61,DE LAS DEMÁS INVERSIONES,615,Venta elementos transport,61500,Venta elementos transport,12381.9
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,6,ENAJENACIÓN INVERSIONES R,61,DE LAS DEMÁS INVERSIONES,617,Venta equip proc informac,61700,Venta equip proc informac,1056
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,6,ENAJENACIÓN INVERSIONES R,61,DE LAS DEMÁS INVERSIONES,619,Venta otras invers reales,61900,Venta otras invers reales,
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,7,TRANSFERENCIAS DE CAPITAL,79,DEL EXTERIOR,790,FEDER,79000,FEDER,88850253.99
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,820,A corto plazo,82000,A personal funcionario,28405.3
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,820,A corto plazo,82001,A personal laboral,6253.36
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82100,A personal funcionario,20849.74
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,821,A largo plazo,82101,A personal laboral,9833.07
15,"HACIENDA, ADMINISTR. PÚBLICAS Y TRANSF.",1502,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,87,REMANENTE DE TESORERÍA,870,Remanente de tesorería,87000,Remanente de tesorería,
17,FOMENTO,1702,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",31,PRESTACIÓN DE SERVICIOS,311,Derechos matrícula c y s,31100,Derechos matrícula c y s,36.56
17,FOMENTO,1702,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,322,Tasas direc e insp obras,32200,Dirección e inspec. obras,131983.65
17,FOMENTO,1702,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,325,"Tasa oo.pp.,trans,urb,viv",32500,Tasas oo.pp. y transporte,1283958.58
17,FOMENTO,1702,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,325,"Tasa oo.pp.,trans,urb,viv",32501,Tasas vivienda y urbanism,15247.79
17,FOMENTO,1702,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",32,TASAS,329,Otras tasas,32900,Otras tasas,4115.8
17,FOMENTO,1702,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,380,De ejercicios cerrados,38000,De ejercicios cerrados,75697.07
17,FOMENTO,1702,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",38,REINTEGROS OPERACIONES C.,381,De presupuesto corriente,38100,De presupuesto corriente,291352
17,FOMENTO,1702,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39000,Recargo de apremio,52627.39
17,FOMENTO,1702,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39001,Intereses de demora,9724.44
17,FOMENTO,1702,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,390,Recargos y multas,39002,Multas y sanciones,3348461.76
17,FOMENTO,1702,SECRETARÍA GENERAL,3,"TASAS, PP.PP. Y OTROS ING",39,OTROS INGRESOS,399,Ingresos diversos,39900,Ingresos diversos,2548410.61
17,FOMENTO,1702,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E., OO.AA., EE.PP",432,De diversos Ministerios,43200,De diversos Ministerios,
17,FOMENTO,1702,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,43,"DE LA A.E., OO.AA., EE.PP",432,De diversos Ministerios,43290,Mecanismo Recuperación y Resiliencia. Ne,
17,FOMENTO,1702,SECRETARÍA GENERAL,4,TRANSFERENCIAS CORRIENTES,46,DE CORPORACIONES LOCALES,460,De ayuntamientos,46000,De ayuntamientos,1128394.89
17,FOMENTO,1702,SECRETARÍA GENERAL,5,INGRESOS PATRIMONIALES,54,RENTA DE BIENES INMUEBLES,540,Alquileres y p. inmuebles,54000,Alquileres y prod inmuebl,2766789.93
17,FOMENTO,1702,SECRETARÍA GENERAL,6,ENAJENACIÓN INVERSIONES R,60,DE TERRENOS,600,Venta solares nat urbana,60000,Venta solares nat urbana,850000
17,FOMENTO,1702,SECRETARÍA GENERAL,6,ENAJENACIÓN INVERSIONES R,61,DE LAS DEMÁS INVERSIONES,610,Venta de viviendas,61000,Venta de viviendas,1717.37
17,FOMENTO,1702,SECRETARÍA GENERAL,6,ENAJENACIÓN INVERSIONES R,68,REINTEGROS O. DE CAPITAL,680,De ejercicios cerrados,68000,De transferencias capital,1408.22
17,FOMENTO,1702,SECRETARÍA GENERAL,6,ENAJENACIÓN INVERSIONES R,68,REINTEGROS O. DE CAPITAL,680,De ejercicios cerrados,68090,Reintegros MRR,433147.52
17,FOMENTO,1702,SECRETARÍA GENERAL,6,ENAJENACIÓN INVERSIONES R,68,REINTEGROS O. DE CAPITAL,681,De presupuesto corriente,68190,Reintegros MRR,1790.73
17,FOMENTO,1702,SECRETARÍA GENERAL,7,TRANSFERENCIAS DE CAPITAL,73,"DE A.E., OO.AA., EE.PP.",730,Fondo de Compensación Interterritorial,73000,Fondo de Compensación Interterritorial,2419977.5
17,FOMENTO,1702,SECRETARÍA GENERAL,7,TRANSFERENCIAS DE CAPITAL,73,"DE A.E., OO.AA., EE.PP.",730,Fondo de Compensación Interterritorial,73001,Fondo Complementario (FCI),1919382.5
17,FOMENTO,1702,SECRETARÍA GENERAL,7,TRANSFERENCIAS DE CAPITAL,73,"DE A.E., OO.AA., EE.PP.",732,De diversos Ministerios,73200,De diversos Ministerios,
17,FOMENTO,1702,SECRETARÍA GENERAL,7,TRANSFERENCIAS DE CAPITAL,73,"DE A.E., OO.AA., EE.PP.",732,De diversos Ministerios,73290,Mecanismo Recuperación y Resiliencia. Ne,
17,FOMENTO,1702,SECRETARÍA GENERAL,7,TRANSFERENCIAS DE CAPITAL,73,"DE A.E., OO.AA., EE.PP.",736,De otros EE.PP. estatales,73600,De otros EE.PP. estatales,
17,FOMENTO,1702,SECRETARÍA GENERAL,7,TRANSFERENCIAS DE CAPITAL,76,DE CORPORACIONES LOCALES,760,De ayuntamientos,76000,De ayuntamientos,170405
17,FOMENTO,1702,SECRETARÍA GENERAL,8,ACTIVOS FINANCIEROS,82,REINTEGRO DE PRÉSTAMOS,820,A corto plazo,82000,A personal funcionario,12878.65
